"userid","tenureDay","userMessages","moodCategory"
"HQWmOyA7XGTGJaJYPVMM+60t+6g=",1,11,"positive"
"qcw9UnzTZJmt1TBP6BlY2Zi0mhA=",1,31,"positive"
"tAOzyyImgafL78Z7KWvZXeGL1Co=",1,31,""
"qlKU5X733W5+O8wmjDlPRXGGQOM=",1,44,"negative"
"n/16asm1baucz97RWKVlDqyiTOo=",1,86,"negative"
"NO+mk5DrrvEGf2JNfQmmrcGFhRk=",1,11,"neutral"
"k/l55TDA8C3lJZipOvl1xDeo5Lk=",1,70,""
"kzo0QCrz68XoKgHJPohBPe431hg=",1,21,"neutral"
"YoFPkS6hkIi+UaEK0rDXuyqbp08=",1,70,"positive"
"mSJavf28GtaFXrnflqnlLzcVyJ8=",1,7,"positive"
"flrLd2JpZIv3QFtZUM36XptmKi0=",1,59,"neutral"
"vK62orkITi5NTsH4PzgJ2FsqKnE=",1,231,"negative"
"D9yDy+C61R71cS231lP+0ttt12k=",1,34,"positive"
"6oFUhH/NmLLWdg1sKUBEkQBGvOo=",1,35,"negative"
"SDcl4dwCB2m0ytypAqk3cQJt1Bg=",1,30,"neutral"
"WJxSAa43KZUOWrkubzJKeNry6DI=",1,30,"positive"
"st2WUgRkSTFFJTaEnwjGwt7enhM=",1,42,"positive"
"QzLyc6BvCDImLbX2d2nHQa4x+i4=",1,31,"neutral"
"V4lDGKcEJduy5sdvhoh4+Rg7COo=",1,209,"positive"
"i9DmYFLzgNJ4+xpuqNOX3YFj78k=",1,165,"neutral"
"AlA+HdX8C/1Trmpi67g6g7kO/ic=",1,33,"positive"
"BzJ5lpD9NkcUE/U8ONSigqVlfto=",1,15,"positive"
"+Cik3NG47a1wC+ErdU93JaeBbrY=",1,8,"positive"
"ty1Zk0fAQYhZgeDXGX4WEjjw5hc=",1,32,"negative"
"A2AgbHhfKHevojht4HyXCtjlw6Q=",1,87,"negative"
"pgeYP70TIfTa8c8mxlE7weA9buw=",1,31,"positive"
"wnD69wV9qonkOIAnMoItyM89YGA=",1,57,"negative"
"tJ2KuIKw0ZapHMUh69maJO+zYK0=",1,258,"positive"
"9TCFZRRJH2cXQFnE5U52ZJgWOMc=",1,31,"negative"
"j8JEAfmllUSgk3HL59eP/ymfkOk=",1,59,"positive"
"6S1JGokU0tm1BRJzJF2TsJrrQ+4=",1,30,"positive"
"51KyZmdSGo2HPWbTlODjf0EjWEE=",1,30,"positive"
"5SuwPvgPjfFiirhiNOHQUdQEDNA=",1,99,"negative"
"DO30WobeG3lCBQ77rjlv9yTtLrA=",1,37,"neutral"
"GhJCQguOhxgSP+GH/l5o8kFhN6A=",1,81,"positive"
"bYhDVlk8Tce0hclcx6c05DswhEs=",1,45,"positive"
"Vkz3K22K4T8U0vv3yutP+tKCh8A=",1,28,"neutral"
"i5okIvikyhbinRVWllBMgB0m3vg=",1,247,"neutral"
"laVo4iCQeaTJgtpNMuegPHbZj+k=",1,134,""
"OeSpPuu0x/S518MSkX4KPTP+MZI=",1,31,"positive"
"M4FG9gVlPwU3jtN5artWToNv3Oo=",1,29,"positive"
"J2jYh6jG8epOSHCeOk+qric4VtA=",1,44,"neutral"
"T9Hw9agq/cMthD8c5c0V1wsK0kA=",1,33,"neutral"
"BJNTETrD6W4yyrdj4hr3pV8pvN0=",1,83,"negative"
"2JBsESdXzfBvhLdTDID+FoLrjUg=",1,29,"positive"
"qJ6JJ7RwFbrDFZZRdEUFSdVP1a4=",1,50,"negative"
"sNeUXYXenFjlDpO+B+eEnVeFpWY=",1,11,"neutral"
"FOZ8Q/+jyQO03bE8S1UTnDyl4aQ=",1,53,"negative"
"QnKvfgQL0HRRSS7sY8iFp1h8Ecc=",1,14,"negative"
"GtYTpj9wFlzNV6buoB3YSnNO2rk=",1,113,"positive"
"jovwFLRNyPrVqLls+PfzdkmlXRA=",1,31,"positive"
"LbxjsTgmQK8bsgEov5s365bISuw=",1,13,"neutral"
"DSRBiGVM5tdqkGXre2H+1IECv+8=",1,34,"positive"
"FvK91csNQUU5DUQUq4hbfxz6I+g=",1,31,"neutral"
"wSbe10to4FgocANLmxj/uBKOa20=",1,33,"neutral"
"P/0l2Z7bHT5uzW1rhpvpAyq1XjM=",1,108,""
"xHMKpEIuDKAuLqgULrJrJpOaFG8=",1,33,"positive"
"mkqfRcEPiTgl2koqYzSTFzafVVI=",1,65,"positive"
"rTE/ALw//ZvJVQ8SlpzwQSr0zI0=",1,7,""
"sprrjwkeBwAAMFFI6PkaOt6flu0=",1,61,"positive"
"+0pfU/ormz318pPBTZ6cWtrgHkI=",1,74,"neutral"
"Fi97eon9Hx6Uqaa0NHud+M+ZBOk=",1,90,"positive"
"+myCc9qX4tXaphGJOa2HDSE2RtY=",1,49,"positive"
"o8g+4qCbAMFq2fX3bat4LofuD1Q=",1,117,"negative"
"nHhXlcST7GBwMpa1mKpENA6H3kA=",1,33,"positive"
"yNG5k3EHyreoOTjvIHTpvvecSm0=",1,36,"negative"
"PUmUNG5PgOpTz2Cy8tG+3MrJ540=",1,82,"negative"
"NBm112mWx4APvcj8DvkxPHXR3hQ=",1,51,""
"c5TDR6gT2XSeKVJIy50HmVI8ZA8=",1,33,"negative"
"A9ooN5pk79lKREVsZiIo97kKz2Q=",1,43,"neutral"
"EGMV99aHJ7rTCYQWYH+h40Zvnmo=",1,71,"negative"
"G/85w7/Y3HUb7m7TL/dkisMtzkk=",1,12,""
"KXQNTk0fUL2Jx8JTu633uMrHdlg=",1,29,"positive"
"Dyp2WwDkwVg0LpOJiJ9mAXaj5uw=",1,14,"positive"
"0d1DTwgmVlsgqD9+UR14Vl+8fqU=",1,29,"positive"
"cyVCW43VMVFiPCVHFrxF5HZ1liQ=",1,29,"neutral"
"wVy+XPEd3rPeD2ORBItv1WULh/4=",1,49,"neutral"
"nfN2gqa5oHubcIkU5Zq1QvRfg9w=",1,21,"positive"
"KoLkQfIS5CLpy5tS9MaVZh4LYuI=",1,29,"neutral"
"I5n+t5T+IiZ+04p+slWZAyb0uP0=",1,32,"negative"
"MqtZ4sO2mcJNfkIbyLjYHfKDbPU=",1,48,"negative"
"bTNSku119IkGJTNeh6waU+ExeVo=",1,116,"negative"
"tfDsCvUmosN6vDb9DL6RVpwNdX0=",1,87,"positive"
"BTINUH49kfRqgIp5sAFR4uR9JAA=",1,41,""
"wIAGgBFKd31XZNinNqYus9OBU48=",1,64,"positive"
"PzdB9mDhcwbBJTVgfj1UoufKgug=",1,126,"negative"
"1ea1JRtIwPl23PlrYX5BSdFF2ak=",1,15,"neutral"
"OcfEfhDcxIyQjPr9wpaSN8zjb/4=",1,29,"positive"
"pXc0tT/CfGuYimI1t+uGBfFQizA=",1,32,""
"XBEor8YJA1xbKhohn4a8I52HS9Q=",1,32,""
"qQFIv/+p9z9SXn46gr4LS7S4gVw=",1,31,"positive"
"Rj6Eu7YONYfYpGgs3oIxgxlrmPs=",1,25,"negative"
"pBCnL7NBWBi+NVBPmlD53u15eOM=",1,281,"positive"
"OJhePQ0nyJBSLh6vGuPURazjwSo=",1,97,"neutral"
"i5+XREpBHYyLMw6SePjCQemMVIM=",1,31,"neutral"
"zbfQpDXbu6XomiBOwEhnT1WBIgU=",1,88,""
"qSkBzDfCmx+90ggOpDFjW/88onQ=",1,35,""
"Y/LrWgD+vTkCXYkqafJqrmc5e7A=",1,40,"negative"
"GXXAIhm46/k9ThJDBLVbbxZqTjA=",1,40,"negative"
"OHM3YG7NVljYBlmBCJfDUFCwFh8=",1,98,"neutral"
"Su7k83+t+hmbhvfR5Iyv5dzeeVE=",1,32,"neutral"
"/1y/L0X9rtVx+WWoN8Q2nldF5Uw=",1,30,""
"b9xGLZ7/NbUkIO8wiHaZfiIaywE=",1,46,"positive"
"QGdoXq2wDovKxo/U30Tw1PuwBFI=",1,30,"neutral"
"wfjiNU2+OgFTvYILVuzpVZch9MY=",1,101,"positive"
"xVRHblnUFZvWnzXkmcONyJ5I1no=",1,43,"negative"
"KEI+DFDqKA2OgAJrBOJr2Dd84lg=",1,14,"positive"
"QjMPeXDzYVIqTsYS7abWAgNs8qQ=",1,17,""
"OSLmywLOyGcGBMvOBXVDnSbgNF8=",1,19,""
"MsYMFlJejbKdDj2chqSkacdpQF0=",1,127,""
"lfviEHiBZVX4RpUfNeEVCxLPU3w=",1,79,"positive"
"gW0fSOY+JkYNuhHyvpIlmTPUnKk=",1,98,"positive"
"Pm0T+cyGgKUQcU8qswZOiUuKphc=",1,63,"negative"
"SjW0vejWtnL+3ElQI4FtC9kmeFs=",1,104,"positive"
"1XbQ+7mwGeUQQ/M0DydiriZ4mA4=",1,41,"negative"
"rngAoIUTtRQZ/a2c7MjFAypih2g=",1,7,""
"SoqW9fJPzN/blZfxdW8ejBB/VP0=",1,32,""
"nqLgCJ1QYKnYn59mdgoK0XdpM7Y=",1,154,"positive"
"JX8MnRIPLclRz2xxQQsV/1rjR2E=",1,58,"positive"
"tPig0sqJaEg2quZJ3yxc7Yat07M=",1,154,"positive"
"JjvB6k6ZQuZfbTTdTsslDzN9ChM=",1,96,""
"l0QPbmJdKNXPLdKJf9VB46paCOs=",1,76,""
"lrhlIE4wOzEzq7ilgW42Y8Phrj8=",1,74,"neutral"
"flh7DF2mlyZ9ScPTMiJymutB2nQ=",1,187,"negative"
"FIBRyXrUPgAgLBnUR4KVlio+b5k=",1,110,"positive"
"sMnlE9capYZIpWW09bx3Z/+vGWA=",1,6,""
"D+BYIDUSDy4HZPOT1pCGiZp0Unc=",1,52,"positive"
"B1ggd5XQT0KAVEOrKpPWzTlJoeQ=",1,111,"positive"
"BCXTeYrTyUq9IbMm3WqKgQazfb8=",1,40,"neutral"
"qpbphP706i2+dleX6z8wL7Hy+fc=",1,85,"positive"
"AQ9HvoOAXp9refx8bpyxczOQ9I0=",1,47,""
"00LAXZRWiB9P8k11KueWLAgJL7c=",1,43,""
"kES6I76+LkaByUok6F39F+l7+ac=",1,66,"negative"
"qSuHDE5xSyaUsC3XcCj6srFAs6U=",1,167,"positive"
"dsbXwva9zA8Up+XOsqrqxTvUs3c=",1,31,"neutral"
"QoeBLI8qoQtPgu0ELvrvlOQqIy8=",1,115,""
"S0J/ND61cAibxRPrL3EbLwD5qY0=",1,32,"neutral"
"73uhfXpMWvYdjk9iwDUKqsAa0Nk=",1,30,"neutral"
"kgHHVwWpBGKPbYm1aTGZ7RB0BOY=",1,7,""
"8Ai3nbZy5mqow3IwKtICzowQtUI=",1,18,"neutral"
"diQYMxQoiOIG/p7EO/s+70ZIOjA=",1,82,"positive"
"bEjwlK8FgCgum3hs2BgChYjYGtE=",1,24,"negative"
"rRDbtIZcpr7MIzXkbfl9WiykSJ8=",1,55,""
"O6Y5pGDkK4ngBbI3tUNejVgrKsU=",1,95,"negative"
"R87pm1lpHTk1rU93IjhI/oxOh8c=",1,30,"positive"
"yNfIPRVPEDh5SEqK1sIhWsUoaNE=",1,75,"negative"
"7gdUKB5sl8d5fhFVUgy3I6jYDco=",1,36,""
"244Gud9Rv8u7on1d/hn4cmagg5Q=",1,6,"positive"
"zbsCsfBfqoTbk5GkEeF+5twLPY8=",1,29,"positive"
"OczMTdq0zLfyTByPp3hhyK/2J9k=",1,29,"positive"
"JmQf0cyEG81fBMbjdLU1+MfWhNk=",1,33,"positive"
"4zdjtbTjc88FCTKTaOdFqNLvaWE=",1,82,"negative"
"ifb7C0RW1q4iIVqSUNTtDBZ81uY=",1,33,"neutral"
"oErC5sktv8Xan+Oodwa8MMK8aZg=",1,43,"positive"
"PVIax8/dg6kUXbW6KYCIaVXFh5s=",1,63,"neutral"
"BAMockDB1sQEBzExk1fgGQIbB3Y=",1,73,"negative"
"aSi+NbOaNQXF0a6qqknr16d0hJM=",1,105,"positive"
"0SOzyqnlBgIwh8ns2ern/RuNWoc=",1,44,"negative"
"4v/nH2XhpuJh3LJ8DB0W138cOUQ=",1,66,"negative"
"F5mQ69SyevHn7ug83fmWr5k0uR4=",1,42,"negative"
"LxP+WsdSGPq/e2BHTJ6e7m0hEGw=",1,14,"positive"
"RKjlk8Ilnsg5av/x8E1Vv9Ipngk=",1,45,"positive"
"DIDMQ9bRm3bepW7pOOyvYEr76fk=",1,34,""
"3te2B+nqWW/VcoIBeAsvq4C/g0s=",1,46,"neutral"
"ivGmrkAtUc+hfCIY6hlJvYiSddo=",1,64,"positive"
"29osqHkj3w/gMPRYZfTOjcw/aGs=",1,72,"neutral"
"nNqcqHCIsWCHFLEBLLNYDGYHYBQ=",1,31,"positive"
"Z+135tPDhdU1zmHmDrb0f2Xtltc=",1,21,"neutral"
"iscv8m3BzzyZa+bjjuAMhnj/huI=",1,35,"negative"
"kPGbYIfv0GGAV753mqSA88eihbk=",1,4,""
"aL/VSlq4lzbVrBtzW+Pf4wILkRU=",1,30,""
"lTnioAxX59vWHF5JALa3KT5OwDo=",1,51,"negative"
"v0KdkaEyUSgLWZXA98GrJh4ezXg=",1,73,"positive"
"oeSlWTbwVdFVU5wNOCwnAN4IA10=",1,60,"negative"
"TXihFCSsLKeXt26ftCPcR1jXFMo=",1,52,"neutral"
"/pT0gGWSiFDl6ULyCbUAe9BvdLM=",1,31,"positive"
"uYLAwweHRvxdVDCsR3V/6MmZ+W4=",1,40,"negative"
"hFq/e/ivido+ULsUzgN3Y1HlQEM=",1,52,"negative"
"TH0gHy+4Jnv/9HQXAX49I3jDCG4=",1,152,"negative"
"QuvULvBALSGo65CqJEIhCl+FlDE=",1,30,"positive"
"5kEpsUqLLpaeHkvArAKYqUP+2Pk=",1,72,"negative"
"A35BTKqrQjtjbH2MMXWGTCR63z8=",1,23,""
"8YarCdTGTJ06RVVnOsjlxmdnM3s=",1,11,"neutral"
"0YsCQCz/F9LVKT4hVCMM57JaYlg=",1,36,"negative"
"NmSczrPVX67pb+2GfUfoyCx12sw=",1,30,"neutral"
"cv7gl36QYgrmJjjQ7evriV0MTv0=",1,19,""
"emvqghJxYRgfMKeLrcSOt9F97qo=",1,70,"positive"
"s/lVUpiKvJR94PGey+XVe5IE2rI=",1,42,"neutral"
"z60SUTdz3QoWEFF2PGsUZMFROBg=",1,78,"neutral"
"vmICdOWqPRdaqO6/uiMlNcnsuoE=",1,36,"negative"
"BaMJBF8Rl7uW32zin3uS9WoR3pM=",1,146,"positive"
"WBTfmGT2SVPIBGiCXgzeM3dMNOE=",2,57,"positive"
"hdGqKFoMNTGq6vXyPMlxVuF/LKc=",2,52,"positive"
"V+XXPXPzzxMZoU/bQefeuIqNYss=",2,34,"negative"
"CqfmIpq9MGUeojDlcXxNBe3jX2U=",2,1,""
"KQXpSYoVyE08w0f+8Ms1/tvIQSY=",2,10,"neutral"
"tw5MsMK8eD/jrPi8kRc9x6/RNUA=",2,99,"negative"
"dL1yR/G6QUmhKAgbQU003wKT1tM=",2,44,"negative"
"fM/3yHjSVPWG/ImwWdVOvhsE3dw=",2,58,"positive"
"A6XUQi/UTNcgUWSNWdyW/06wk3s=",2,34,"positive"
"uqHdIFDZE3s5uctR1rbcJM9LmCI=",2,56,"positive"
"5mWLgpsyLWzjYLMYwTw3uICe1Y4=",2,91,"positive"
"O9h/0K5oJ/rhvYIWMnGKvsEVxb8=",2,3,""
"fSpDK94hm/F8qaTuUC3s1vofVOk=",2,102,"neutral"
"Wm4LazNCAKEHO6zhExk3+JNwlmY=",2,161,"neutral"
"5pjfw8ZyDLT9azm3d2cWqtnhEWk=",2,27,"negative"
"pMJzZCSwmMagxvKqJ8eymhAIVIs=",2,40,"neutral"
"25lA3ZdV/DloUPyfirWvHTOqr5c=",2,33,"neutral"
"H05/InJE4yUoC7SPgg7Rgs8A0JU=",2,34,"positive"
"+5GZAqP5hHhXvZj6bqs0OHHR4k0=",2,10,""
"FvK91csNQUU5DUQUq4hbfxz6I+g=",2,40,"positive"
"F6c47XJVD5eurt/qArhNPNv9fMg=",2,34,"neutral"
"oUcOasTMlEbW02TrXn4aB7t8pEM=",2,32,"positive"
"HDOuud1HVvWUPSTPjpD/aYY8Zpo=",2,30,"positive"
"Wtq9ROHbnfkv9qo7pRCOlvqK3Cs=",2,54,"negative"
"yNcnLw9RkIom/XSKHHmSzTZS0Wg=",2,16,"positive"
"OXqQiZM1w6saOYtpEox0miUDubI=",2,12,"positive"
"5ddVyR/Y4rySiId7meRvOUoPSEo=",2,31,""
"XmhZEwcPEFcNRLu1lOvNtsFQR70=",2,42,"positive"
"DiW4cENGx/Yn1eS7txRAaOzPoS4=",2,61,"negative"
"vGYvfcrMGVget9FBpEBlIPtugNE=",2,169,"neutral"
"Y+PyrNweIU0VNKmDIpNCW/0kcL8=",2,53,"positive"
"csdnhjt0RA7vozUP1LQcKGZ54O0=",2,55,""
"J9im3d8uyi6uKhAbHJdSF7UDOS4=",2,65,"neutral"
"qgE6bq5B/A2LUJnbN6AzEDMiDxw=",2,33,"negative"
"H1tHVTwwEBVegTSmjgPbHoHY5F8=",2,17,""
"PlapN10ZnSJMdqX3MBbM4vSRiFQ=",2,32,"positive"
"MrKE7zDLsp0fvBaFf4BgCUCTHQ4=",2,19,"negative"
"48jYLKxX0tUu8Ng3EHLvT97CXpo=",2,49,"negative"
"nbaSM6q1VWvQ7LnLaojFIaRyfYM=",2,48,"positive"
"Jmhc0aes/C8biWpJxumnjKZo6Vw=",2,34,"negative"
"oo2+ankYsypNUUX9KuPQAGLAKuQ=",2,34,"positive"
"/YpVokElky7yIdqZ+Sro7KGi6V4=",2,27,"positive"
"NqKQdU03gWC4KiAU0T7QSX5lpUM=",2,14,"neutral"
"uYhVpWwsoYGyLv3BQtf7NZZKolw=",2,70,"negative"
"M5xlUw84LmXh/tC+tDFMQ0YoVjs=",2,65,"neutral"
"j8JEAfmllUSgk3HL59eP/ymfkOk=",2,68,"positive"
"/L174ZR/yqwWLiiTJNa1ae0sgu8=",2,53,"negative"
"6eLS/mm/GCL+W5BSAUdZu86brto=",2,12,"negative"
"caMkklDhWzjTKn7x2/XCuEMxwuY=",2,43,"neutral"
"L91349VpzK+/JWJz1tTaBylVyJI=",2,38,"positive"
"ho+sbCnRIXjUqHaaDuSENJ4LXD4=",2,52,"positive"
"3hHh+fECE1itpQo1TyHlkad2NOs=",2,30,"neutral"
"37LfLXioYf55BV65Ra+jmHqLQsI=",2,44,"positive"
"Gbh3eO3h6V3irx/VOU8MqxCJaKE=",2,33,"neutral"
"h6LK7l1uAQpYlIPF2acsvlRi1Dk=",2,8,"neutral"
"9LJIYEo4Ap8i7JXdB2NCK77wwSk=",2,55,"neutral"
"OMaz987NFM647AmJLk1nFO6zD9M=",2,14,""
"pXc0tT/CfGuYimI1t+uGBfFQizA=",2,11,"positive"
"dSAFwOUkwRgwvewbwrgamKEUZfo=",2,13,""
"S/cJEAqAaNEvrnBg88K/hkwzn0c=",2,103,""
"0UCmNhXtOa5iNqs1xEl5vtuWQGw=",2,9,"neutral"
"HPcRTeG7nw3r1NNqTW8pZ7JhAx4=",2,44,"positive"
"dsbXwva9zA8Up+XOsqrqxTvUs3c=",2,34,"positive"
"vpRXSQUJLAV+We6pRVw8PAlVQVA=",2,9,"positive"
"sToYsRnYISzUfsBza3QbHr+DiGg=",2,44,"positive"
"lJx7N9fmbfK2Q5YgC89L1FKVKQI=",2,59,"negative"
"MMyVD8K5YG/YoPp6gvSeArQm4Oo=",2,33,"negative"
"qwLs2ktFFQatuzdRXhEoYVzzep8=",2,32,"positive"
"VzsR3if5kvuhyXDjybL7Xo7w7nc=",2,8,"positive"
"5Pd/icw9VNHMRmhoK+Ahv443C44=",2,42,"positive"
"Lj0WbxDNX2QudReRbqUp2vc7C+c=",2,8,"positive"
"QtSkXcyu+Ox86kj7J16lfabwb40=",2,34,"neutral"
"/JpcPCh05fGNovZF5yrhG9vtNy4=",2,43,"positive"
"EKNho8tR9g4wpJomJAn9f7gA18Q=",2,81,"negative"
"w86obpDYK6m8/7xTtf4O/sbYk/4=",2,61,"positive"
"JXezIGGc3wh2+nf5xjR58EDe8UE=",2,29,"neutral"
"85wTK3F+bwXoAMxpU33C3LXBne8=",2,42,"positive"
"GBczT5rUZPQRwt78iPdXNc5qcJY=",2,42,"negative"
"bp/7t5jnj2ylDS5lddTLx3dS/4I=",2,9,"positive"
"I4YNO+aqN3OK3eWqKbjhrBnPMZM=",2,40,"positive"
"cy5SmnieMqnGZOknUXyRuwYqCsM=",2,41,"positive"
"vpDY01EgR0XbroG4Cts+mP2o57o=",2,28,""
"JlhKKf9GWnHbZSDtnD9yHkv/ZSE=",2,24,"negative"
"tFss5H+wh+8qCCtOyVA3EZ6LQfo=",2,49,"neutral"
"TI75UB+fX4AXqsl1pSu4/MN097k=",2,31,"neutral"
"c/077+HOyGpb0/WuMQdCIaKScoQ=",2,42,"neutral"
"SysJh1CoEOA9ehKTOUsxDX5Qcns=",2,48,"negative"
"oZogJ3HLCdsh3o2/9P3i6sR5WaA=",2,6,"neutral"
"r2v7S7O2BU2SJANU5H0cSiIMSxQ=",2,30,""
"ZjExOOYlTN1cBulCv5+dYswvPEE=",2,29,"neutral"
"MG1Gc38TUM/CzkxMjqKksUl2iCc=",2,46,"negative"
"f49L+MWvx4hHh67Nn6dzocd3udk=",2,30,"positive"
"uMaVGlsgtbVHeL9zdHOKZrPlKyA=",2,40,"neutral"
"MWjeF+0BH1HBkRTd2cpdO3IlVA8=",2,31,"neutral"
"fgdz7pR9leaoIUbzUL9cAOibjxM=",2,53,"neutral"
"hJuvvf+/thJT9ULI9sBwUoA8vas=",2,134,"neutral"
"n54VlssB/AWnkCugDgVkuP151iY=",2,11,"negative"
"yZXkSQ0sY0l9YvP714BcT+nWj+k=",2,42,"negative"
"9lJzZ5rlYndH8Mu0h7MWWP5hte4=",2,77,"negative"
"SOShSjVdntQ8slllhxy4JliNPz8=",2,42,""
"Rj0clUBDMErq5sRSlyjC9EbxhXU=",2,36,"negative"
"gaEQXmHVH2oPxKnBdXvkYlvTBWM=",2,106,"negative"
"YbdZsi+na2HSsA6niIwYHyAEJw4=",2,31,"neutral"
"RuKoX7qer7XKzJdEK7EfcN/c76M=",2,44,"positive"
"s1yNqTVqVb4yMG0l+mkT+T3J/MA=",2,11,"positive"
"DhomXTEe2jwhObO5ElDeY/Ef6RQ=",2,30,"negative"
"ZGnsvg+migAT77as9sssUgWUT6s=",2,36,"negative"
"YYoE2EZsFYJIbIyj5QfSNamzNaE=",2,44,""
"JJvrwKnGI9IzLt/9yCOZXbXbhQ4=",2,47,"neutral"
"vTvhWnGj40HmBvDXPcxEk+rcQ9I=",2,80,"positive"
"OuvYSK1s3j1pXbFtLs3B8QRVLC4=",2,121,"positive"
"qg7ce14jYTh/xDgvhdKVNtu+5ss=",2,41,"neutral"
"rLKsSfPvMrJnrwGCskGiB7S/bYc=",2,27,"negative"
"pHDxBurSrtUIzzTNvY5GnBg9e5Q=",2,42,"negative"
"O0j92uT24Nd/K2YVTm9ZWuCgt6c=",2,42,"neutral"
"EUYRU8kr1jt6xfBFkcBJzLyhGq0=",2,37,"negative"
"QzoZtqUKGZnsS5qTlowfu2xanKA=",2,58,"positive"
"gIkwh8JEjE+V1CuqRAg9oKiqUzk=",2,30,"positive"
"yWhXstHkuAfalT5KrFvmIsC59wE=",2,40,"positive"
"XQcQznfEujkp2Z6Gp2D+GLI7C6w=",2,40,"positive"
"A/I8mLjmCz62nolD+g2ihMJnzGI=",2,26,"positive"
"Pm0T+cyGgKUQcU8qswZOiUuKphc=",2,53,"negative"
"YvHcSN0sz6k8qUuBRW4fSHBXjwc=",2,30,"neutral"
"NGBTH2dRGvAQRb8Nj0NILgaQ9dg=",2,43,""
"1bRgwy+5L1+xO2L98tbmrpntTYQ=",2,44,""
"9TEVGr+gpcJx6PLTp4xxVMUwBNU=",2,11,"positive"
"Tt5J5dE6UGVH3D0h4fEmo57Zj+k=",2,45,"negative"
"GmOVq0DtW5zMQxD1ZERTn1CjkZA=",2,9,""
"8xcOWTMtO95+4D70rDtsEpr+X+4=",2,44,"negative"
"2e53lY1SqX3U/PuilV9E/O99JSw=",2,28,"positive"
"stsxM3sAqzXetvBtCaJJl2IHzSI=",2,13,"negative"
"2Z4wh4g0YL1fqaPATuZJEQpdTp8=",2,45,"neutral"
"mtiTYzwfJRb9QFJ+5O4wHG06gq0=",2,60,"positive"
"gdgXJ0MAK9yp7f5eMclR8TdN+GQ=",2,44,"neutral"
"w/QAVRpABFTTmQuWSJBICXOtprk=",2,2,""
"ZWqljs3gSvUH/mGAMG2dVC4dAL0=",2,9,"positive"
"JbWvjQUZBWZWv7uDzJeAbkahZXU=",2,67,"negative"
"uqJUApNu7Qb3I6ppkO+jAxtWCRw=",2,165,"neutral"
"/pT0gGWSiFDl6ULyCbUAe9BvdLM=",2,11,"positive"
"6c17wBPhz/jxdPSp6lcrPuHZXCw=",2,89,"positive"
"m+wRgdoDkJtKGwa/HJJqJ/QbzXs=",2,11,"neutral"
"wVk0PXVbLUeZmE7vDq86xFS62EU=",2,29,"neutral"
"GoH8w7p6iEaFj223+YWGibEfikA=",2,10,"neutral"
"bobO6NGbWYKM7kemT3hCGouQg+k=",2,39,"positive"
"2X4LiX3zNQENyhfFglYbAKIJmNI=",2,42,"negative"
"zZvnBOV+CQ5VmPOB9RUnlm82/2k=",2,29,"neutral"
"0d1DTwgmVlsgqD9+UR14Vl+8fqU=",2,45,""
"CMMQIfhLp5KJbFHK2cofgXP5Jes=",2,38,"positive"
"BNjD5zrYMwdERrnR9GCTYpLdaYs=",2,85,"positive"
"8L65jzqPhea1SeF5BoQ7RAeLvpY=",2,26,"positive"
"uGx+o8zdDULR3R7IcbfBWAypQlU=",2,166,"neutral"
"mzjSXkCIlnWj9fOwpiTkYTOrR1I=",2,11,"neutral"
"lFNcFvMCO9jBvonr7W8WF/ekPGs=",2,100,"neutral"
"Wqd02MPCfL57Lu9Da6db/PWAfVI=",2,13,"positive"
"rOTmBvnzRcFy18JyicUDDb9sTAQ=",2,44,"positive"
"7sSNh21ASNNDDvL1v/KZ158XHx0=",2,46,"negative"
"b7E24QYKdxUIAmaLCIZBYRbnDHA=",2,45,""
"Q1mAQCDVjn9PNsdY2Bp/58DRDJk=",2,32,"neutral"
"vhrEtLanKdg/rhWKezOUFjv7HE0=",2,40,"negative"
"OO/UX8G1RtB1wDMg65KC5PpbBvE=",2,50,"negative"
"B8FkqfCrPoo/Rb4DGom+LmspOfk=",2,35,"negative"
"SoqW9fJPzN/blZfxdW8ejBB/VP0=",2,29,"negative"
"3R1NwCf7w/nSj+o3MXg5CQffzZs=",2,43,""
"ADeD//q+ZaKr1rmboHaxJ/mmhQc=",2,8,"neutral"
"Vl+LKeyefvFdqNF5ZfRyySJg/fg=",2,73,"positive"
"yP2B9vOu05di2AHVIX5TZcMVgrQ=",2,29,"positive"
"BbWF6V+rkm1nKlTc9Qyf0ypy71c=",2,31,"positive"
"6OwbCGA8LW501fJrNo0kYD81VSI=",2,5,""
"PdqzUpmjqROmRBJ5c25tCWTGLrk=",2,15,""
"Rj/G9pVGNzg2U6AdFTfS0tZfHQA=",2,49,"positive"
"cYGyJksUeLkH4sMkxIaAA43fuAE=",2,1,""
"0FdeY4720BpbuOJt90OsDUURQjU=",2,34,"neutral"
"EfTB5/0eOJrplUFQtQxpxw7jewg=",2,20,"negative"
"y3LD9IHlY4JkhuLDCajv/ctHMeI=",2,98,"positive"
"YPCBvwCmgLgN09/ttLkidMW4Csw=",2,8,"positive"
"GbuvK2xm/kvrUMNP9GPnrky9Rm8=",2,25,"neutral"
"I95Xs7f7K+TvMfisR21toIH74w0=",2,11,"neutral"
"hHGQXBblkVIIGovnlzpnc9SO8Gw=",2,27,"positive"
"T/muCja+nP6uu9ZnkWKBpiOg15U=",2,86,"negative"
"aAKZPrnFdQhJA/WMy56H3DWN1Fg=",2,67,"positive"
