userid,mobilePlatform,tenureDay,waiBondSubscore
6payrlKnLiz+rv06CoDyo2DJ3Iw=,ios,5,3.75
dVMIghpv0l6CftL3tuFk1f4X2fQ=,ios,4,4.75
Ke1bJqCww1N9dOmnyfhyIGF9UrE=,android,15,4.0
yujm4ScFoRInV7w/he8Jixnn748=,android,5,3.75
1jGayXhCwVWH2v57vSGO8aHaOkA=,ios,5,4.75
EUYRU8kr1jt6xfBFkcBJzLyhGq0=,ios,5,4.25
WGxaVil4UMvDgM0Vgl/zCVdUxZY=,ios,4,3.5
Ym3zQZjOEl11ev+25/897lK0v4w=,ios,14,3.75
/ZR1H98eBQKIqQb5WkJ+PON2U2g=,ios,4,3.25
lYFcLLq8yIJEoT85/OffTDCzLvs=,android,6,3.5
WsP31f8rHe1Ya4pufgCZlSvYJGY=,android,4,4.5
e86/0CrhEcjBI4XFOFVYmVbXTcQ=,android,4,3.75
khXhHIpgA2QzLd1JF0a9rW3xA8k=,ios,5,4.25
0ku+yiimc/4Sz+oFTlUdyAYkmjU=,ios,4,3.25
3UktV7BLsyAaDnmCseeSYfNg8QU=,android,4,4.25
CVCb5cUTSMrgZRBLF1zJpOKVM24=,ios,4,4.25
7Ih8eVTDF7zPHIGlxkwEqOZnO2g=,ios,5,4.75
fJ/EFfHmWF+Y8gdpwBadvjWPO+4=,android,5,3.0
qWVPovMfucVPtLVgZk2i7BYBqmY=,android,4,3.0
+LZLHSQU/p1Dr3cXF1dv8OJQOtk=,android,4,4.25
aBXmQ4GEXAA5asggbCG7Ajs8ABs=,ios,5,3.0
yTDbCYFBNZJj+ZIYMPQgQPz9F60=,ios,4,4.0
rrIPrCTchEb1b7vWPjxLatM/wd8=,ios,4,4.5
MsqzySON+j6JNkjDOAsK7jFYE1o=,android,14,5.0
UQ22CQSrCDDlwkHP72gfyOdnbDE=,ios,5,3.5
3PVqT4zmDLZGJsZ3R0HlkG/6koU=,android,5,2.75
1Jm026egHSH3cuJNR09M4CxTXZM=,ios,4,2.75
dcujOV7rZOsrdbdXwTGxTukn1Gg=,android,4,3.5
kAmLzj7qmkQYpZGooA5YL6gtsZs=,android,5,3.75
m8HcYLgRL7YJmLugN7M1FJ9g310=,android,4,2.25
notydfTzP5iScT6ROke3YexxU9w=,ios,14,4.0
pey9p99s97DRPyX83+B0mXt67ko=,android,15,4.25
hmJZwTpslSuiKX6an0rqS4tarZw=,ios,4,4.25
LQrKWXYS6LGrzNEO4AW4okqsOEs=,ios,4,4.5
6BSaK10YZif9yfyDW2taS9Zd9B4=,ios,4,3.0
V/VGRH3y+lwCDypnaRjEMc9OkuE=,ios,16,4.5
bNQ0Y1NqoS4K4jwNTOQlR1dJHlQ=,ios,4,2.75
y3ObRyyxVocpHuRt9WE5vV2wXZE=,android,5,4.25
TiKVlEIPZwy6ppnlTMdtBYUv80s=,ios,4,4.0
iDwWDUUN7LlmKnjt4zjFlpLuV5U=,android,4,4.75
bIVn8HiR0Vt7kNDlTQPcbkqUShc=,android,4,5.0
xtwOyh2rpsQy0UEiC+PDK8xsx7E=,ios,6,3.25
HDOuud1HVvWUPSTPjpD/aYY8Zpo=,android,4,4.5
6iCbIpotmoaTxn9F50RTTAsLMMk=,ios,16,5.0
Hlzev6lee3okKyXcQJ78EPRU2ao=,ios,14,5.0
al9HCLNox7fHlPIwxt7AlHCzP+I=,ios,5,4.5
TSPJyNeb2O9I39rS0hyPrslZf1Y=,android,4,1.75
34rQzR7hvTZb86XXJQiZYoiprtQ=,android,5,4.0
A35BTKqrQjtjbH2MMXWGTCR63z8=,ios,14,4.0
GZ8n7IVyxsZ7QVrVmEnRQPVhdFY=,ios,4,3.75
BK6S83p0SEKMwhX8CEQSXGoSuYk=,android,4,3.75
zA8UPtU6rLKGMU/+1wDqXX+WF94=,ios,4,4.5
uQT3e0N+zKRdhxOZB6yiC74Phro=,ios,14,5.0
9vFrVGU6RKowDSDJxNV/7nvxSw4=,ios,4,3.0
i76VlbgZt13EqMGtqhWCyXv6SHE=,android,15,4.5
TfhJHVDojWq1SyFyrT2lL2Y/A7U=,ios,5,5.0
1uFE/gkXth11Pe4jRhq9VqlXagc=,android,5,4.0
f5RAS+6pOLq1Tk+fZY9lnaM+FnQ=,ios,5,4.0
yeESJRK+3lMJunoWVravNtVDnj8=,android,6,3.25
ZqKDQ+GHgXWaz2+CyQ8zzswmXSY=,ios,4,5.0
nGhNmeV3I8qYJndEUWo5rv00vdQ=,ios,6,3.25
V5ODP770dz7yh8IFH3S0ujD47wI=,ios,5,3.75
qjZwUPeXEQhDXGqCmouVVjnduH8=,android,4,4.25
dNGxHVzlA5wH04O1fpT3PS5LhSs=,ios,4,4.0
l8huQrCW6bYj7kMtbC2NCLHlYvQ=,ios,5,5.0
RXcrk4lcJ92bKnq71/43zMRU7BQ=,android,6,3.25
XYpKaEJgU/EM4J82AgfNt8zhBGQ=,ios,6,2.75
f53g7VqqdqNDdTIg/IGNfX1ZGjc=,android,14,4.0
0ubXWS57qP7dvtGbWvCpy8IKSj4=,ios,5,4.75
itAUfaxgVuaKHBYbmg+VkqlRhJY=,ios,14,4.75
/JojM3OMJ7a7DJRQJUhMh3Mm2HI=,ios,4,1.25
wRWg7adMToLkvR9KfKKVCejioPA=,ios,5,4.5
/Jom4oDGvh8xzAelqWdv5cg09SM=,android,15,4.5
fT92PqyZN4XRQLoC0uOU0Ge0YMY=,android,4,3.25
HacuijCW25/VLCpF4UjnICA9yxU=,ios,16,5.0
/kVj4YcikczaEQccGSZzrORTTY4=,android,5,4.75
Wtq9ROHbnfkv9qo7pRCOlvqK3Cs=,ios,4,4.5
ydrG2mRy4DlBumbBhb+d7qVZiNk=,ios,5,3.75
K7sP6g3ilPcJt3rS3512p1TnY1w=,android,15,3.75
q1pw+EKKYoICnbzr9rmOHRoLo3U=,android,5,3.25
RvYmpVnG/3iH3v+NW5E4Rdkp6EU=,ios,15,3.0
DfdmBudFxNciXz71bLSsezSR46Y=,android,15,3.0
FjO1cwNSlpmCSlU/jty366M1a0I=,android,5,5.0
Vkz3K22K4T8U0vv3yutP+tKCh8A=,android,5,4.0
YtO8uNTvBPPwMP+PZQI+dsPOWvs=,android,5,2.75
opCv4rhxtUA9p4qLNQuHP+gsA8Y=,ios,14,4.0
6Od1nyeaBhliYsuWosilt72U2Ko=,android,5,3.0
xB0c4S/r9PFRm7YL5ls/+Brrogw=,android,4,4.0
3ufWIfCpVdvTk0kbaJb4ECXMn3k=,ios,4,4.5
RLFFOx+uPN6V2chp24oaBluK3qQ=,ios,14,3.75
cHCixn7C/ZZDUYTljtkMTlTB0VY=,android,5,4.0
jJpZ8uGXjfzWjuV3NZ1MRMFyUI4=,android,15,4.25
A6XUQi/UTNcgUWSNWdyW/06wk3s=,android,14,5.0
rK063ppOhC4kdkQ27fURgHXIC8s=,ios,4,4.25
S+jnKnlVTLjeeAqQ0FXQVjRVOeY=,ios,5,5.0
JlhKKf9GWnHbZSDtnD9yHkv/ZSE=,ios,5,4.25
+7yLhAHDNf2RtCa90NQWlklzrfc=,ios,5,3.75
AVoCT41I2t/UaN3BaHa/ju+octQ=,android,6,3.5
LrPjEjtjHmkabg4W4tIV+sa0/8g=,android,15,3.75
ee2LHRR5UcXKqoyJZFgrnEb3Vls=,ios,5,5.0
LXt53n52aH5B8rORSbJNtBArnvc=,ios,5,2.5
FAX3nxy9+aicPE+kOyrWF4z4aUg=,ios,5,4.25
ZAtWtjWODu0BmzZnIfDzW3NGLTY=,ios,15,4.5
b7E24QYKdxUIAmaLCIZBYRbnDHA=,ios,5,3.5
SvkCJmMtDE4L2sY455D0ZWj0gUg=,ios,5,4.0
4aIvTmDJc/kao0ZaJT+F+aXrTHE=,ios,4,3.75
gNSJizNqdaYgoZ0CfJqLtK6t8to=,android,4,2.25
K8pCpADmSrmZcA5ZCjen/fKbn0k=,ios,4,3.5
W8lGYTfAQvHdjleO2wqPWZl+KvY=,ios,5,3.5
Ip4T+JB44IVaO1uaLM5YWmMo0eg=,ios,4,3.0
WWavaD7ElhbvUKdaCaZZlasVCVM=,ios,5,3.75
kpio4oStACGiO0+ih/2Q/9AMCFM=,ios,5,3.75
o0CNBKKDSDk5mJQWZmfW1szxFYA=,android,14,2.5
m6UhIlTlChaKsXioNt7k9RDKQDY=,ios,4,4.25
5zZwvdWKKNI6GClnYEywIuOWQkc=,ios,4,5.0
EgwPKJcxdPf7bTZbrc/8QotY36c=,android,4,3.25
XYveXQsDsfaI+VxORKWfomHFNgA=,ios,5,3.25
lGBWX6j1D0zBcNaNmdGEJxbEeXw=,ios,6,4.0
A14Yjvogs8gTWFkrAr6QYLqzUAQ=,android,4,4.0
8AQJq/P8A1gNmWFgA8mqMz9ipDI=,ios,4,3.5
JEIWLHY56GD5ni7n8xKpJB45ISo=,android,15,4.25
Beec1qBY6Se3jkmF5FLGGhI9HDU=,android,5,4.5
4pedI436EBNldTEj2n1a3MLpURk=,ios,4,4.25
T7HJAeRoBSqYGGeOvt6oScWWlWw=,ios,4,4.5
m+wRgdoDkJtKGwa/HJJqJ/QbzXs=,ios,5,3.25
XRy9aZXxSFdTCbPaIy81/OO+CVA=,ios,5,3.5
YwkJooqynk18q8l0F1jF0wQnPHs=,ios,4,4.0
Zl5QfjLjbH3+ra0SBzXemEGPcow=,android,5,3.5
q71Xd7/zmueYX3d+yVURIB1nucg=,android,16,5.0
HWf//I731rQ/IOYcv/QJG0nkLNQ=,ios,6,2.0
w/2bwqxj/LGVGJFV6ztjWH6CB8s=,android,5,1.0
e/BvkX4Ahplz0jrPW7jqRmkv5xY=,ios,5,4.5
q013mB4fNzwxKjuFmIpAimNoGuU=,android,4,4.0
qGJO6jrbs+GaV/KiSTCbnURQIAM=,android,5,4.5
+MB+uuRamu7MpkO7TrYQMPkBJXg=,android,15,2.25
F/mkIokLy4WlZPnzLR1yczZXYbs=,android,4,3.75
o9HNn8bxhr9GIWpLd+Yxes0kWz8=,ios,5,3.75
wVEqtaHxVpvT4vC+x57v2w1ERo8=,ios,5,3.75
iKGVo2U1VuV8Uce0ZCEC/XytwBM=,ios,6,5.0
Tp8J0UUTo7gqsMRI342DVhx+FrM=,ios,6,1.75
yVAZEvD/8mljdpJ/PwjT0zCMmnw=,ios,5,4.75
/FwHiVKFoR2I7sY94S7FtHLl4TQ=,android,14,5.0
Pm0T+cyGgKUQcU8qswZOiUuKphc=,ios,5,2.75
TN3ePcvAmCaaT+5zQYhhq25ZmDs=,ios,4,4.75
3pFslZL8scBcnpqyhExJeDPgcmk=,android,15,4.25
O9qXDfGoS7tfy0HNSHmyC/MJ/+E=,android,4,5.0
VV76Xap9N4hiJJUG2uHlx+J3ryo=,android,5,3.25
BY0SPb2eG82jeMhZZ1KanvT37Go=,android,6,4.0
gNszyKie/Xka2EzIt+dJmR3Hsgg=,ios,5,5.0
SzqZcuIoyj1bBKT9QAjGFnel+Bg=,android,5,4.0
/jmW8AMyhJ+Pfh1JJBkqaaFg0fc=,ios,5,3.25
i59WH7GF8llMqMQ7UL7/zA3eIYc=,ios,4,1.75
m4At5EgOvK7YmlqoT8bXqjvknbs=,ios,4,3.0
R4bQ1IhhL2mqT8R+ZvPRWswgEsM=,ios,4,2.0
DRVv0fE8wVVGqUQkkxp+bYkljrY=,android,4,3.75
5Pd/icw9VNHMRmhoK+Ahv443C44=,android,5,3.75
M7gh3trmGXnt1qteMpFuMFlzHzA=,ios,5,2.5
85wTK3F+bwXoAMxpU33C3LXBne8=,ios,4,4.25
hjx+Y2OQ4A7Ni/Utofrl/rcmHSE=,android,5,4.75
5HVDl9aHZDkGxQzg2bwT/0aa0eA=,android,5,3.5
uNih5qOWP0Rn3DDgSRjCGYDTmag=,android,5,3.5
yPLcgPhuG2puCWyxvpbPgN11sDI=,ios,6,3.75
9mm4x5rc5dA9zYw4iwRCTVUzECc=,android,4,3.75
USIM6vlqEnDtKMuow88RV9l9API=,ios,5,3.75
SLpwq+dH94espfRPg7jj0xEkwd4=,ios,5,4.75
hfof7aBCE26Z+0qijW4AgVLCtAc=,android,5,3.25
2+9juVwz2Gw/0fjq4Q4nBvvl81s=,ios,4,4.0
Tea95zrEG+JY7d1prSupQbuI87M=,ios,6,3.0
FIWozFXB1Us7xDmiisfFeul7Oq0=,ios,4,1.75
I37t2+3FkrnB1NF6jn7vpyIKMM8=,ios,5,3.0
INuSlqMmqHMGMGXw8WmP7aV2GG4=,ios,6,3.5
A2AgbHhfKHevojht4HyXCtjlw6Q=,ios,5,4.0
dBZOoJMkS/LSofGSJi71nO6cd+w=,android,5,4.25
Ek9y3/BthBSyTf15O18GOpAuVHA=,ios,6,2.5
OB/FqJMj0VJzHDq1SBXqe/0Cf6c=,android,4,2.75
2uC10u9EFak2cqKRl9yyESmqJxw=,android,5,4.25
3cLar07Ljiq1l0J78VRzQAnnh6U=,ios,6,3.25
PZtXANFbJ17NjQePnf/6ePO7Lo4=,ios,5,2.75
3noGIKZPx75VjASIGj3O7aFKl7E=,ios,5,4.5
J3yips5FopvumQesUPo3dj9c01U=,android,4,3.0
ESaYvLTq+zl1UbAqVK2Uo/2Qyu4=,ios,4,4.5
B1ggd5XQT0KAVEOrKpPWzTlJoeQ=,android,4,3.75
681Ee0arGCcz4LZ6pCGZLpbQcO4=,android,5,3.25
bFurB1RFSdACKGgcOOKgcZGCWTY=,android,4,4.5
Je7ahnHrn0fpCAKVww4eV7iHrq4=,ios,6,2.5
TDagjXuyzbPXLzQ/bxMmT+J0eFc=,ios,6,4.75
xIlv0+Tb/gsZtJ+M3yDG7T6Dp8Q=,ios,5,4.5
OtkH03pgcZNrFzSlYaKqszSdHzU=,android,4,4.5
drVoepu87rF0KiyK7w4/djvonLU=,ios,4,3.5
0IkqvvM2vcMcs/MbChqEomqv00E=,ios,5,4.5
hvjY1fgD5+lm7dZYwZW4bPCnNhc=,ios,15,4.75
5nNlSdQjGq5cQNNv62Ez+J5V0SQ=,ios,6,3.5
DO30WobeG3lCBQ77rjlv9yTtLrA=,ios,4,3.5
fXc57X0tBumCGavTkT+79HvA8bs=,ios,5,4.0
S/+1dFOAL9/Y0AGLzMnbNoP0QyE=,ios,5,3.25
JrQmXAG8GjMv62C0tjk5GGJ4rTI=,android,14,5.0
bobO6NGbWYKM7kemT3hCGouQg+k=,android,15,4.75
IcCHTl8iIftycnWVVHx6TO+3Xpg=,ios,6,5.0
9nYjxfqZpXc36kUT6V9vE9CQVfo=,android,15,4.75
J3Ea+zak2MpufAnyrK2BTPiP7ss=,android,6,4.25
iRBX3SweU4PUzhMBZMx2h6dsoS8=,ios,5,4.25
KVSaoNnNdAGzLEVrkO3Dc+E8cSU=,android,5,3.5
ZdmNb7Cps9JHsocJOecnuG7QmO4=,android,14,4.25
wj3fvcZAHMJ1MLkXOeMt9GDWKkM=,android,15,3.5
DSRBiGVM5tdqkGXre2H+1IECv+8=,ios,4,3.5
0d1DTwgmVlsgqD9+UR14Vl+8fqU=,android,5,4.75
RXcrk4lcJ92bKnq71/43zMRU7BQ=,android,14,4.75
r2v7S7O2BU2SJANU5H0cSiIMSxQ=,ios,4,3.0
/ySV/xG7fYRdPcc83LAXwrIFvcw=,ios,5,4.75
9StbsOcPuXvQpGZKESDx2VIDExM=,ios,4,4.5
bKyyP/Iz/684tcpqXBPUUDM/92M=,ios,5,5.0
J83iiB0eRkN0j+nFFKC+10xaa8c=,android,15,4.0
rpH6beJeBcEpSU1cLgTMxNuTiOw=,ios,4,3.75
zzw1WvxYozVcB687o/4bM35fqn0=,ios,5,4.0
jXV4Li16AOycv1sbCASCG9X5GSs=,ios,4,5.0
boa4ONUyvDu4m34WwWcoxwvv4bw=,android,4,4.25
k+Tvh0Pig8DZMy6/5ZY8kclSnjA=,ios,5,4.25
9xGpr3C0EoBJV3kbzMBSnvpmS7A=,ios,5,5.0
takJHxc/1gIdZJn0LGtxrh6AYew=,ios,4,2.0
yqgahE2aMn4Ksy1lIsj32OwKgd0=,android,4,3.0
B6e5esZBlWDubYJb2AVJavLAChk=,android,6,3.5
bbT2WApcknZmkVCcGc+NSlZlTE0=,android,5,4.25
9dLwowPVKbch7cLXU16rHFdA16Q=,ios,4,4.0
vhrEtLanKdg/rhWKezOUFjv7HE0=,ios,14,4.75
PeszdyVUXWHPWU+GdKU22rQqX7g=,ios,5,3.75
q8Nsf6fEal9wgW7d5wgKPdUJSQ8=,ios,14,4.0
8pAenLUs+N6zfm5e1zGMKLz+zw8=,android,6,3.25
6MgWNGjvkfpNOLt4is+7kAl1gPA=,ios,4,3.5
hQo8RI/cRwcFFn8Y20y/+med9qk=,ios,4,4.0
+tYRxZO67IUk3cUUOwOwZoBHSuw=,ios,4,3.25
5eveSNsNJ8OWPa2E5PIU9MZf1rk=,android,4,3.25
7i7RL2ZkD6lkCS4s4lkr/GkCOyM=,android,4,4.0
Jzc3zMTRYT3GMV39Z9+lKo7+jnI=,ios,5,3.5
KW5ashGbkNyWKlwule9p4mQJyBQ=,ios,5,4.25
q7sCh9sVzvGSTNuUCNpxVNQ6nwU=,ios,4,3.5
8sRgYJSCC5nMWWPPbmdcUmAMPn0=,android,14,5.0
SzRjpVbavhf/CapMO11nXarNOtc=,ios,4,3.5
5ddVyR/Y4rySiId7meRvOUoPSEo=,android,14,3.75
CRJ+mmwHNjJRmgaLmC6SDO16rIU=,android,5,4.25
54pNUD/SblOWy8FYNevrPh6Q4bg=,ios,16,3.75
rNXGlbYSndvCJSxnLZ2XFklg5Nw=,ios,6,3.25
J3SJktEPpTN0msokCTgL3GgwFts=,ios,4,5.0
MMyVD8K5YG/YoPp6gvSeArQm4Oo=,android,5,5.0
5MX2un63r39xn5KM5n7Fs3PK1yE=,ios,15,2.75
V3t+3aQNiMLUcmfCiDaHFFkJliU=,ios,5,4.75
TQCKsh4vTsODivS9eRQXa3+Om/s=,ios,5,3.0
93FJEjQaPFW8QOtTH5smQXggm44=,ios,14,4.25
QmfcJK6PrSGveb9OD2stqANbGBA=,ios,4,2.5
OzwzdEz62rP9Rl8oVIeyFrA57zI=,android,5,3.25
aSs0fuOpu119etAFMQLaLlGHNHE=,ios,4,3.0
VCX2hd090oR7iSlRP/2qb8N7rAo=,ios,4,3.75
6ho7w/eL513zvMTgmOQ+JeFqqtM=,android,4,3.5
QegX6rm2HC64pK03EoDPYaIjxDY=,ios,5,4.25
NahYwS2IjPpIHFo/vQEf/tSrqz0=,ios,4,4.5
3QhOpY1FirNlE4ITY5sDizgR5K4=,android,4,4.5
B0eVRKnEohMUWwiMXmyZOM9GwH0=,android,14,3.5
IqNpUv4+xv8ojVinKFc0F2JzeFI=,android,5,2.5
cKGdts4CeS3nyyN7Ce0TIZ3gpU8=,android,4,3.25
244Gud9Rv8u7on1d/hn4cmagg5Q=,ios,4,4.0
MUEWppUw3uYUnNPJttskXsKvxX8=,ios,5,4.0
XUEBE+R41xsv5qbNxd5LUFjiFUM=,ios,4,4.5
3f3WM79WwL1CLKeiINmKg/+Gu7A=,ios,4,4.0
34hWPliM2vKAFkdFEVz0cebbmHQ=,ios,4,3.5
h1Ys9uEkHWTUzVaNEzx+0TokKdg=,ios,4,4.25
jJMN1Vx/6g1i2PSEFRE45qSOkxg=,android,5,3.75
URhA0vjxLj+pmzUXfuRFglGBoyg=,android,4,3.0
6xjRGxl07s0iV542EQnHMWsKplI=,android,16,4.25
jGcJ80GEsnJqhP6xquI9jWX8Pf0=,ios,4,4.75
Yery+qpE3iVZGlUrATHjEwL7V2E=,ios,4,4.75
ZW4ruwQkL1H4zfzi0BFl/XYvDN8=,android,6,5.0
wnFT9UJ49MxwAKdrEmlffkbCiPc=,android,5,3.0
ZsusOJw1R3buRJp7/aZMN2ztEz8=,android,4,4.25
MDq77yFLHgLQ5vqnPgL8lvO3LMs=,ios,4,4.0
pMJzZCSwmMagxvKqJ8eymhAIVIs=,ios,5,4.0
pgeYP70TIfTa8c8mxlE7weA9buw=,ios,6,3.75
CYp07J6oYR1znnMt14UMLhIUCzI=,android,4,5.0
0L2ElZYavmMJfJSmvcTU7S/SuYY=,android,14,2.0
QXEmpttmcncfj8ecunsaV+m2Ris=,ios,5,5.0
tlkMFEVdmzINHaoeUJ55AouAB9g=,ios,15,2.5
4XUTQW+c6ud513gEK1Y9Kqzu274=,ios,14,4.25
Hd0w5j2tuXhQ+iRlmJbNfk4DV0A=,android,4,3.75
qJpCcyd2PT+hPxf/eaQDTlGlPiw=,android,5,3.5
yzjPyt+B/UPOIqFqX4hzZ1gKaMg=,android,5,2.25
kCKbqkxOX0LHNwUWjxW+Dm9L26g=,ios,5,5.0
KOXsVULOsMT6GggEDxp51QwKKo0=,android,5,3.75
5K1X2WP2GR73tnFJNyRFW7XZOvQ=,android,4,3.75
6eLS/mm/GCL+W5BSAUdZu86brto=,ios,15,3.75
Ttf7oVcHO7K8SJ695WXlO1izCuo=,ios,5,4.0
6ZUMSBrVjgaouhDzInPal7rLtCo=,ios,15,4.25
lNFTbxi1UY1tECsWBvSMWrG6+1Q=,ios,5,3.5
Tn1w0M2OGyDItVnjM7hs4AIgaQI=,ios,4,3.25
VTvoFhpMX3wWQ6D6Dq4l65L4VR0=,android,6,3.0
KXQNTk0fUL2Jx8JTu633uMrHdlg=,ios,6,4.5
lFXMBphioSIjpBkfJicKcGkVbgU=,ios,5,3.5
5jR8QpNujz7mhZVh+jxJDOqPwRg=,android,5,2.5
aOCR/z2Zc6tzPYCQs+LriwMCFkQ=,ios,15,4.5
pYyE0+P0n2Hi6Es+cgJ1F8O24Ys=,ios,16,3.0
AlUtSzYB/w6rsyDx3cXzPTz6GoU=,ios,5,4.25
JUk4AhaWYC2x9R4p8TvcNAb6h2A=,ios,5,3.75
XyHtS8timTw2yGbN31dTn0wWPP8=,android,6,3.25
MsYMFlJejbKdDj2chqSkacdpQF0=,ios,4,3.75
+lO0d5b9opUUGnYo+m8/BHn4v5g=,ios,6,2.75
QjTZbLGzHuf3lWtsltvgEl5jJD0=,android,5,3.0
NcRub7FEuex9IXKYPKnTHisLtis=,ios,6,4.0
QkDWknfQ/LFWe7oVLQoafXGaPnc=,ios,4,4.75
DhomXTEe2jwhObO5ElDeY/Ef6RQ=,ios,4,4.5
wiw2OsXmHg9adztSxA9ex3E4lYE=,ios,14,5.0
14kgl5Z6JaDQJAGy8EcqUkz5r54=,ios,4,5.0
LunIjNQYGlIVCqBXykQgPuA4qSo=,ios,4,4.25
gW4LxONN6Cq2f5oMr9EBYeqWBoA=,ios,5,3.75
Ca3rCsfytWpgt7lL2WpovRrb8MA=,ios,5,5.0
+b1ml08DfgB06N1geiDKVMcqxAs=,ios,4,4.25
urT673lCc4gbnzD5Zk5qlahg/0Y=,android,5,3.0
cdqXMjuo81Vvl4C234v+b+84rMg=,android,5,2.5
kab6gbSJQvKNg1vMGJVQJspsRU0=,ios,4,3.0
YvHcSN0sz6k8qUuBRW4fSHBXjwc=,ios,6,3.5
ZvG6YAzXGJ0/TGPvJNzDi/c8Z2I=,ios,15,3.75
O8GZz/jWgvIhfbuZ8Awz4WiQerU=,ios,4,3.5
cZM4n7KAO7jLg3/Ln08t0p0EsOs=,ios,5,3.0
JATJYvM/r2tpCC4SkQi//q5LRcY=,android,4,3.5
XSzcT/bIBy885haa3gDfTmUYvIU=,android,14,3.0
ZAlQG6Mr8BxG/9zbLPl7gleuRMU=,ios,4,4.0
di4vKhqnvRjcp6UsTLg5V77ofeI=,android,5,4.25
MC6DAg5RlizblF/PoNpC5ZTifhs=,ios,4,4.75
jyH5zscfSEFX+HG+8ZXuOhjEvpk=,android,5,5.0
EyQhpD9GYD6xztbe8uLzAZqaqdM=,ios,4,3.75
2btkMxWRhJnU40RSiM60Lp9+VmE=,android,4,4.0
rHXwyBTfpM8lxSgd0OsLj+BTt3A=,android,14,4.0
v4DuuHfaOL7EK23UuAB+kzpyTgY=,ios,4,3.75
anaX03UK/SouZHWduGPX1+jynww=,ios,5,2.5
ox/otrYr1NZHIPnAE4adocuJaqU=,ios,15,3.5
UaS1o4mPyUXni1a8gWsy8GgWU9E=,ios,4,5.0
xi66YgO3kBN4epTXWEq6llCJg1s=,ios,4,2.0
VhWrujAXfWN1k6hCx24enYpOs4g=,android,5,3.25
bFqyGfSROVXfbRa9Vm9qP2r1h98=,ios,5,3.5
6sw+VSEj+/QVF/6equh8+UQahK0=,android,5,5.0
U04Ipoj+uVQt/yVBgrzULAiJt+0=,android,5,2.25
wj3fvcZAHMJ1MLkXOeMt9GDWKkM=,android,5,3.25
X+SqfOcIw3VfSBjtf0c2Q0PKAdw=,ios,4,3.0
tFss5H+wh+8qCCtOyVA3EZ6LQfo=,ios,4,4.25
3+ZI15aiSb7Eui0aI6wS0UuMbHo=,ios,14,4.0
JBm9EgHd+MR075gtUu6WeGiWjCk=,android,4,4.0
kECXasml5YXaSgRMDILGNJj2nrc=,android,5,3.75
QnvLYHkY64k0Ep11bOP7VZqFlp0=,android,5,2.5
QI2opKxoUi7gDLkRDPo0C8pl35s=,android,4,3.0
KEI+DFDqKA2OgAJrBOJr2Dd84lg=,ios,5,3.5
Axj2LkQE3hZpTpNMl3BFp4Q0Prc=,ios,4,3.0
p3O8IqUrCsvVeXX8JLjnllTRpdc=,ios,5,3.0
Sx6wmudImr0mNqJRtRUqcGXFsaw=,ios,4,4.5
Um4SpPJMPYkiV6GEwEewJPyQStY=,ios,5,5.0
oVnmUFbRE++xpRDKhhDNaYyzNek=,ios,5,3.25
mEwBKuwwmjcxWXLJWLWdF7oEzlo=,ios,4,3.75
l/Twy6xLaTBGETQMSidtIY8lt44=,ios,14,2.75
+2dwOpLGFNWZiiqYecaaOR2LqGo=,ios,4,5.0
B0jfnP7N0Vg9fHhx6HOlHqbApds=,android,14,4.75
HDM3gbK11v8Jz+qJA8kc6yq63Xo=,ios,14,4.0
/g9UYA2bPqfhGrbza4+Fuos813E=,ios,5,5.0
QzLyc6BvCDImLbX2d2nHQa4x+i4=,ios,4,3.75
S230f1RcChtlgM4qi/E/UHo0tlU=,android,15,2.25
Fw2yKWXAw6XIh7TZHpiAxVyxK4M=,ios,4,4.25
ukCdCKp98uF6NWXopIn8ujdShcg=,android,4,4.0
OBX4X2sVFZo1gdmoOFn1No0Z8vc=,android,4,3.75
dJhMr1dpWzyACDEXDlJe9b5uxK0=,ios,5,4.75
8fHVh+ymWrpzKwPKlbSJWZIucpk=,ios,4,3.25
YdWH3qUk9EMlzFHSRj4r6Ml9/ts=,ios,5,4.5
mGklJKAhm51l1B+32STDDebhcfk=,ios,5,5.0
szRPs7qt3rHFUdvRK3UuAufUcWk=,ios,6,2.25
qR+OGQdfz3LJa4wmQcB8yeoDQYU=,ios,4,4.75
iyKzyO37GpRBH5rpIbTu+XA4ohE=,ios,6,5.0
BY78xr5/O1Cnh8dohbR4ewwMXVY=,android,14,3.5
wdD83u5kDk63f1ZlpDhntmb68f4=,ios,4,2.75
GPXAXBZvpzIhycvkhWCD/YkM6eI=,android,14,4.0
O6Y5pGDkK4ngBbI3tUNejVgrKsU=,ios,4,4.5
UUCRM8x7j8+4U+bHAibfPWMOmUE=,ios,15,3.25
LphtQwDEzQ+iKVV0c0EP0bQm4lA=,ios,6,4.25
4NLmEvFqi8rzPCIcpM7VOJ8tnl4=,ios,4,4.75
h1kEJwCu2fo/fe2GlIOB+iy1vBk=,ios,16,4.0
OeSpPuu0x/S518MSkX4KPTP+MZI=,ios,15,4.5
VvLyHZ8KG+B4rMUgWpqi58EsFLM=,ios,5,5.0
yX2lG3nj0XCEQsNmhsYMIEYdD9c=,android,5,3.75
8lHisBsjMlZf9tYetqCHwNqHUvw=,ios,4,3.25
kPGbYIfv0GGAV753mqSA88eihbk=,android,5,3.75
f1zJMLH47BDoDlj+5Qayqocr/wc=,android,4,2.75
